Country,District or department or prefecture or province or region,Area included (1000 km2),Maxent 1980s (%),Maxent 2000s (%),GARP 1980s (%),GARB 2000s (%),Maxent change (%),GARP change (%)
Central African Republic,Sangha-Mbaéré,18.33,74.69,96.13,69.85,93.64,21.44,23.79
Gabon,Estuaire,19.6,0.91,2.33,0.26,0.39,1.42,0.13
Gabon,Haut-Ogooue,33.83,23.91,61.24,2.4,22.94,37.33,20.54
Gabon,Moyen-Ogooue,16.53,0.31,14.42,0,1.23,14.11,1.23
Gabon,Ngounie,38.57,0,4.14,0,0.79,4.14,0.79
Gabon,Nyanga,22.34,0.45,0.34,0,0,-0.11,0
Gabon,Ogooue-Ivindo,43.49,0.23,31.49,0.29,20.76,31.25,20.47
Gabon,Ogooue-Lolo,28.98,4.72,55.29,3.5,38.5,50.57,35
Gabon,Ogooue-Maritime,23.76,0.75,7.15,0,0.11,6.4,0.11
Gabon,Woleu-Ntem,37.58,0,8.57,0,2.97,8.57,2.97
Cameroon,Adamaoua,60.63,2.84,25.43,2.22,23.8,22.58,21.58
Cameroon,Centre,68.57,0.52,35.32,0.33,32.1,34.8,31.77
Cameroon,Est,108.84,12.14,46.6,9.72,45.01,34.46,35.3
Cameroon,Littoral,20.34,2.74,18.45,2.12,12.84,15.71,10.72
Cameroon,Nord,9.53,0,2.13,0,1.6,2.13,1.6
Cameroon,Nord-Ouest,17.4,35.71,34.55,30.47,29.59,-1.17,-0.87
Cameroon,Ouest,14,20.29,38.95,13.77,35.69,18.66,21.92
Cameroon,Sud,47.47,0.37,11.97,0.37,3.9,11.59,3.53
Cameroon,Sud-Ouest,24.72,21.85,41.03,14.97,26.46,19.18,11.49
