"Paper tile

",Pape link,Geography,Publication Year,Species,"Types of data
E.g., Data from patients?",Tags (Keywords),Category of data,Description/background/data dictionary?,Limitations?,Open access,Restriction on use?,Data Source/link,Model parameters and values,Codes?,Copyright,,
Ecology and geography of human monkeypox case occurrences across Africa.,https://doi.org/10.7589/0090-3558-48.2.335,,2012,,"Case data, environmental data",Human; annual confirmed cases; Environmental; climatic; Africa,"Case data, environmental data","Case of monkeypox from endemic regions of West
and Central Africa; environmental data (annual mean temperature;
annual precipitation; isothermality; maximum
temperature of the warmest month; minimum
temperature of the coldest month; mean diurnal
temperature range; mean temperature, and precipitation of the coldest, driest, warmest,
and wettest quarters; precipitation of the driest
and wettest months; precipitation seasonality,
temperature annual range, and temperature
seasonality,  data layers summarizing net primary
productivity (NPP), potential evapotranspiration
(pevap), soil carbon, soil moisture, and soil pH, aspect, compound topographic index, flow accumulation, and slope, and monthly photosynthetic mass)",,No,NA,"WHO, CDC, WorldClim archive, GeoData Portal, United States Geological Survey’s Hydro-1K
digital elevation model, and University of Maryland,
2010",,,,,
A game-theoretic model of Monkeypox to assess vaccination strategies.,https://doi.org/10.7717/peerj.9272,,2020,,Simulated,NA,NA,,,,,,,,,,
Bayesian epidemic models for spatially aggregated count data.,https://doi.org/10.1002/sim.7364,"Evros, Greece",2017,Sheeps,sheep pox dataset ,NA,NA,Cases of sheep pox between Dec 1994 and Dec 1998,Demographic information not available and the case number is aggregated by months,Yes,No,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fsim.7364&file=sim7364-sup-0002-Supplementary.pdf,,http://utopia.duth.gr/malesios/ARTICLES/code.pdf,,,
Inference of R(0) and transmission heterogeneity from the size distribution of stuttering chains.,https://doi.org/10.1371/journal.pcbi.1002993,Central and West Africa,2013,Humans,cases of monkeypox,Human; annual confirmed cases; Africa,Human epidemiological data,Case of monkey pox in central and western Africa between 1970 and1986. Temporal data.,No demographic information,yes,No,https://www.karger.com/Article/Pdf/416460,,Matlab code for two key functions,,,
CAN CULLING TO PREVENT MONKEYPOX INFECTION BE COUNTER-PRODUCTIVE? SCENARIOS FROM A THEORETICAL MODEL,https://doi.org/10.1142/S0218339012500106,,2012,,Simulated,NA,NA,,,,,,,,,,
"Misinformation making a disease outbreak worse: outcomes compared for influenza, monkeypox, and norovirus.",https://doi.org/10.1177/0037549719885021,,2020,,Simulated,NA,NA,,,,,,,,,,
Stochastic model for interhuman spread of monkeypox.,https://doi.org/10.1093/oxfordjournals.aje.a114747,Zaire,1987,Humans,case of monkeypox,Human; annual confirmed cases; Africa,Human epidemiological data,The data provides info onthe number of index case and secondary cases of monkey pox  reported during 1980-1984 in Zaire based on surveillance data. These were the lab confirmed cases. These are deidentified data.,"Raw data not available, summary of demographics available in another publication: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6131633/",Yes ,No,https://doi.org/10.1093/oxfordjournals.aje.a114747,,"FORTRAN language are available on request from the Smallpox Eradication Unit, WHO, Geneva.",,,
Modelling HIV/AIDS and monkeypox co-infection,https://doi.org/10.1016/j.amc.2012.03.042,,2012,,SImulated,NA,NA,,,,,,,,,,
Seasonal host dynamics drive the timing of recurrent epidemics in a wildlife population.,https://doi.org/10.1098/rspb.2008.1732,,2009,,Cowpox data,NA,NA,,,,,,,,,,
Modeling the spread of capripoxvirus among livestock and optimal vaccination strategies.,https://doi.org/10.1016/j.jtbi.2017.10.009,,2018,,Capripox simulated,NA,NA,,,,,,,,,,
Transmission dynamics of Monkeypox virus: a mathematical modelling approach.,https://doi.org/10.1007/s40808-021-01313-2,NA,2021,Humans; Rodents,Simulated ,NA,NA,,,,No,https://doi.org/10.1142/S0218339006001878,θh (Recruitment rate for humans): 0.029,,,,
,,,,,,,,,,,,https://doi.org/10.1142/S0218339006001878,θr (Recruitment rate for rodents): 0.2,,,,
,,,,,,,,,,,,http://www.iaeng.org/IJAM/issues_v41/issue_2/IJAM_41_2_09.pdf,β1 (Rodent contact rate to humans): 0.00025,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,http://www.iaeng.org/IJAM/issues_v41/issue_2/IJAM_41_2_09.pdf,β3 (Rodent to rodent contact rate): 0.027,,,,
,,,,,,,,,,,,Estimated,α2 (Proportion identified as suspected case): 2,,,,
,,,,,,,,,,,,Estimated,φ (Proportion not detected after diagnosis): 2,,,,
,,,,,,,,,,,,Assumed,τ (Progression from isolated to recovered class): 0.52,,,,
,,,,,,,,,,,,Bhunu et al. (2009),γ (Humans recovery rate): 0.83,,,,
,,,,,,,,,,,,http://www.iaeng.org/IJAM/issues_v41/issue_2/IJAM_41_2_09.pdf,μh (Natural death rate of human): 1.5,,,,
,,,,,,,,,,,,http://www.iaeng.org/IJAM/issues_v41/issue_2/IJAM_41_2_09.pdf,μr (Natural death rate of rodents): 0.002,,,,
,,,,,,,,,,,,Assumed,δr (Disease induced death rate for rodents): 0.5,,,,
,,,,,,,,,,,,Odom et al. (2009),δh (Disease induced death rate for humans): 0.2,,,,
,,,,,,,,,,,,,,,,,
Modelling the potential impact of exotic diseases on regional Australia* (no monkeypox),https://doi.org/10.1111/j.1751-0813.1995.tb15013.x,,1995,,,,,,,,,,,,,,
