number,created_at,text,source,user is verified,user has url,user description,user created at,retweet_count,reply_count,like_count,quote_count,followers count,following count,tweet count,listed_count,user location,binary_class,ternary_class
68,2022-07-09 0:05,"@Monkeypoxtally if you have the opportunity to be vaccinated for monkeypox, here is how that vaccine works! _URL_",Twitter for iPhone,FALSE,TRUE,Medical Device Engineer | Making Science Accessible & Understandable | Subscribe on YouTube: _URL_,2017-01-26 23:28,3,1,5,0,39604,308,2936,378,NYC,0,0
72,2022-07-09 0:07,"@LizHighleyman @SpeakerPelosi Living in the Bay Area, we have access to weekly wastewater testing to assess MonkeyPox risk (to an extent) outside of direct testing thank you -SCAN (sewer coronavirus alert network) -@Stanford  -@EmoryUniversity  -@verilylifesci  _URL_ _URL_",Twitter Web App,FALSE,FALSE,The main air filter in your home is your families lungs. Windows+HEPA+CO2meter+Masks #Vaccinate #Ventilate #useHEPA #monitorCO2 #MaskUpN95,2018-06-17 13:28,0,0,1,0,1296,725,22836,19,None,0,0
73,2022-07-09 0:07,West Virginia detects first probable case of monkeypox _URL_,WordPress.com,FALSE,TRUE,Welcome to the official Handle of theusarticles here you will find the latest news updates about the latest happening in The America & around the world,2022-01-15 7:01,0,0,0,0,22,123,29902,1,None,0,0
78,2022-07-09 0:08,Tune in to @News12BX @News12BK for more on what people think of the accessibility and equity of the monkey pox vaccine. _URL_,Twitter for iPhone,TRUE,FALSE,:movie_camera: News Reporter @news12 covering NYC:Statue_of_Liberty::red_apple: Facebook & Instagram: @faithgrahamtv,2019-01-02 2:21,1,1,4,0,5150,485,1082,20,"New York, USA",0,0
82,2022-07-09 0:09,"Biden administration to distribute 144,000 additional doses of monkeypox vaccine as cases spike _URL_",Twitter Web App,FALSE,FALSE,I'm seriously newsie. Anything I say is my own opinion. A picture is worth a thousand words.,2016-11-09 15:41,0,0,0,0,538,2150,221949,3,Northeast USA,0,0
83,2022-07-09 0:10,France to begin preventive monkeypox vaccination campaign for vulnerable groups _URL_ _URL_,aa.com.tr,TRUE,TRUE,"News from around the world, digital content, human interest stories by Anadolu Agency Also follow :camera_with_flash:+ :movie_camera:: @anadoluimages TR: @anadoluajansi AR: @aa_arabic",2011-01-19 14:45,1,0,2,0,189132,28,289329,2304,Ankara - TÜRK_YE,0,0
87,2022-07-09 0:11,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter for Android,FALSE,FALSE,None,2010-03-12 5:38,0,0,0,0,24970,27466,954911,8,"Tuscaloosa, AL",0,0
89,2022-07-09 0:11,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Tweetbot for i_S,TRUE,FALSE,"Explorer, founder of Lachine, seigneur of Cataracoui, discoverer of the mouths of the Mississippi.",2015-03-08 18:30,4,16,28,4,130677,1107,160240,1240,None,0,0
90,2022-07-09 0:11,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say Longstanding weaknesses in the public health system are giving the virus a chance to become entrenched. via @NYTimes _URL_",Twitter for iPhone,TRUE,FALSE,"Desmond Tutu: ""If you are neutral in situations of injustice, you have chosen the side of the oppressor.""",2009-04-19 16:10,27,3,47,2,475954,1471,98048,3419,USA,0,0
92,2022-07-09 0:12,"As of Friday, New York City is reporting 160 presumed monkeypox cases. Here's what you need to know about the disease, as well as the five boroughs' efforts to fight it, with advice from @CDCgov and @nycHealthy. _URL_",Sprout Social,FALSE,TRUE,Healthy families. Thriving communities. Health equity in NYC. RT ≠ endorsement.,2016-04-25 15:50,0,0,1,0,2529,2083,4199,27,"New York, NY",0,0
96,2022-07-09 0:12,"NYTimes: The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter Web App,FALSE,FALSE,:peace_symbol::purple_heart: Blessed Be )0( #OverEducatedUnderLovedGenXCatLover #Mom #Wife #Friend #BLM #Resist #LoveIsLove #Ally #StopDomesticViolence She/her,2015-05-27 23:05,0,0,0,0,3247,4990,85747,41,"Michigan, USA",0,0
99,2022-07-09 0:13,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say Longstanding weaknesses in the public health system are giving the virus a chance to become entrenched.  _URL_",Twitter for Android,FALSE,FALSE,"Sports, Politics, Entertainment, Commerce, Technology, Relationships and Law (SPECTRaL) Enthusiast; Host: @RacialDraftPod; @ThePopBreak; He/Him",2009-03-29 16:11,0,0,0,0,2041,1755,314871,113,"Brooklyn, NY",0,0
102,2022-07-09 0:13,"""Yet the response in the United States has been sluggish and timid, reminiscent of the early days of the #Covid #pandemic, experts say, raising troubling questions about the nation's preparedness for pandemic threats."" _URL_  #monkeypox",Twitter for iPhone,FALSE,TRUE,"Culture Worker | Curator, Essayist, Arts Educator - Multicultic Afro-diasporic Healer | Yayi Nkisi Malongo, Muertera, Espiritista",2008-04-27 18:56,1,0,3,0,5436,1665,30087,87,"Seattle, WA",0,0
105,2022-07-09 0:14,"As monkeypox hits California's LGBTQ community, activists say not enough is being done _URL_ via @Yahoo",Twitter Web App,FALSE,FALSE,DAWG,2022-03-19 20:26,0,0,0,0,7,57,5522,0,None,0,0
106,2022-07-09 0:15,"Philly's tally of monkeypox cases is growing, and a shipment of 225 vaccine doses expected to arrive next week falls short of the city's needs in a growing national outbreak, health department officials said. _URL_",SocialFlow,TRUE,TRUE,"The Philadelphia Inquirer is your front-row seat to the Greater Philadelphia region. You can support local, impactful journalism at _URL_",2008-03-26 1:57,5,0,5,1,433497,1228,220191,3078,"Philadelphia, PA",0,0
110,2022-07-09 0:15,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter for Android,FALSE,TRUE,"Past President NSLP, Past Director (NS) LPC, Professor, Editor Stuart Texts (_URL_ Past Chair, _URL_ _URL_",2012-03-06 14:51,0,0,0,0,1043,2012,49281,0,Canada,0,0
112,2022-07-09 0:16,"The @SF_DPH received 2,300 doses of the monkeypox vaccine this week. Supply constraints mean that only high-risk groups are being told to get vaccinated for the moment—and there aren't yet clear eligibility guidelines. Here's what you need to know. :down_arrow: _URL_",Sprout Social,TRUE,TRUE,Know Your City. News serving everyone with a stake in the future of San Francisco.,2021-01-04 1:04,1,0,2,0,8392,458,4208,128,"San Francisco, CA",0,0
114,2022-07-09 0:16,"Health officials have identified Michigan's second case of monkeypox in Detroit. The first was in Oakland County, but it's not clear if the two instances may be linked. _URL_",Twitter Web App,TRUE,FALSE,Journalist @wnemtv5news. @_hamptonu & @waynestate alum. Child of God. Native Detroiter. My tweets are not affiliated with any organization.,2009-05-19 22:07,0,0,0,0,1319,1037,22318,29,None,0,0
115,2022-07-09 0:16,"Monkeypox spreads in different ways.  The virus can spread from person-to-person through: Direct contact with the infectious rash, scabs or body fluids. Respiratory secretions during prolonged, face-to-face contact or during intimate physical contact.",Twitter Web App,FALSE,TRUE,"Certified Paralegal. former photog for the @AP @NYTimes @LATimes Swimmer, runner, and cyclist. #JohnLewisVotingRightsAct",2008-10-11 8:05,0,1,0,0,3832,5001,156862,349,In My Heart,0,0
120,2022-07-09 0:17,"Another barrier to containing a disease like monkeypox is a dearth of sexual health clinics, as Dr. Varma noted in a recent opinion article in The New York Times. _URL_",Twitter for iPhone,TRUE,TRUE,Buffalonian. Words in @currentpubmedia @Washingtonpost @BlockClubChi @Citylab DM for Signal,2010-11-29 5:45,2,1,0,0,7829,8947,36840,180,"Chicago, IL",0,0
122,2022-07-09 0:18,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter for Android,FALSE,FALSE,I want a world where everyone belongs and is valued. #WarrenDemocrat #Boomer She/Her Vaccinated against Covid-19,2014-10-31 19:31,0,1,0,0,1726,1678,65872,15,"Manhattan, NY",0,0
124,2022-07-09 0:19,Check out Brandi Smith's video! #TikTok _URL_ 20 Cases of Confirmed Monkey Pox in Houston Men,Twitter for Android,FALSE,FALSE,"Fun, friendly, witty 60 year old man who loves animals and kind kindred people.",2022-07-05 10:56,0,0,0,0,0,1,608,0,None,0,0
126,2022-07-09 0:19,"Monkeypox is transmitted to humans through close contact (eyes,nose,mouth,small droplets) with an infected person or animal, or with material contaminated with the virus. Take all the precautions to protect yourself, &amp; avoid someone that exhibit the monkeypox symptoms.",Twitter Web App,FALSE,TRUE,"Health & Political Inquires. ""The only thing necessary for the triumph of evil is for good men/women to do nothing""",2021-02-12 7:29,0,1,0,0,528,618,1297,0,__ ____,0,0
127,2022-07-09 0:19,"Monkeypox, caused by the monkeypox virus is spreading globally, with @CDCgov reporting &gt;600 confirmed cases in U.S, &gt; 100 in California,40 cases in San Francisco. Symptoms include fever, swollen lymph nodes, body aches, &amp; sores or rash with skin lesions and scabs.",Twitter Web App,FALSE,TRUE,"Health & Political Inquires. ""The only thing necessary for the triumph of evil is for good men/women to do nothing""",2021-02-12 7:29,0,1,2,0,528,618,1297,0,__ ____,0,0
128,2022-07-09 0:19,5 Things to Know about Monkeypox @dr_demetre _URL_ via @YouTube,Twitter Web App,FALSE,TRUE,"Health & Political Inquires. ""The only thing necessary for the triumph of evil is for good men/women to do nothing""",2021-02-12 7:29,0,1,0,0,528,618,1297,0,__ ____,0,0
131,2022-07-09 0:19,"FAQ: Monkeypox is in Oregon. What you need to know about symptoms, spread and vaccines _URL_",IFTTT,TRUE,TRUE,"Follow for breaking news, stories, photos, RTs of our journalists and more",2009-01-10 18:46,3,0,3,0,31580,104,67493,568,"3500 Chad Dr., Ste. 600, 97408",0,0
133,2022-07-09 0:19,"""The first missteps in the US response to monkeypox were in testing. As in the early days of the coronavirus pandemic, samples..are being funneled to the CDC for final diagnosis, a process that can take days. Only recently have tests been shipped to commercial laboratories""",Twitter Web App,TRUE,TRUE,Board of Governors Professor of Chemistry and Chemical Biology @RutgersU,2009-06-17 0:32,1,1,10,1,44002,253,58701,597,"New Jersey, USA",0,0
134,2022-07-09 0:19,"""The first cases of monkeypox were reported in May, but tests will not be readily available until sometime this month. Vaccines will be in short supply for months longer. Surveillance is spotty, and official case counts are likely a gross underestimate.""",Twitter Web App,TRUE,TRUE,Board of Governors Professor of Chemistry and Chemical Biology @RutgersU,2009-06-17 0:32,1,1,12,0,44002,253,58701,597,"New Jersey, USA",0,0
135,2022-07-09 0:20,Probable #monkeypox case diagnosed in Clark County. _URL_,Sprout Social,TRUE,TRUE,The news that matters to you from local experts and trusted sources. Always live on the free @Audacy app.,2009-04-27 17:10,0,0,0,0,5755,1868,38554,262,"Las Vegas, NV",0,0
142,2022-07-09 0:21,an interesting implication of the monkeypox apobec story is that it suggests that mpxv is NOT susceptible to the apobecs in its original reservoir _URL_,Twitter Web App,FALSE,FALSE,Very safe. Perfectly normal.,2011-06-18 14:38,0,2,5,0,9265,2009,104792,138,Pluto,0,0
145,2022-07-09 0:22,US will send out more monkeypox vaccines as cases surpass 700 _URL_,WordPress.com,FALSE,TRUE,"_URL_ provides Top Latest Breaking News of Technology, Science, Entertainment, Politics, Sports, etc.",2021-08-02 2:36,0,0,0,0,58,72,23796,0,None,0,0
151,2022-07-09 0:22,Monkeypox vaccine: Durham and Wake County have limited supply _URL_,WordPress.com,FALSE,TRUE,None,2017-04-05 14:41,0,0,0,0,145,417,54244,0,USA,0,0
155,2022-07-09 0:23,"Rapid Diagnostic Testing for Response to the Monkeypox Outbreak — Laboratory Response Network, United States, May 17–June 30, 2022 _URL_",WordPress.com,FALSE,TRUE,24/7 News From Around the World,2022-03-17 0:31,0,0,0,0,88,11,58096,0,"Los Angeles, CA",0,0
156,2022-07-09 0:23,Just heard on the local news that a monkey pox vaccine will be available here in California very soon :smiling_face_with_smiling_eyes:.,Twitter for iPhone,FALSE,FALSE,"Black, gay, smart, witty, anti-social, with many eclectic taste. This seemed like the perfect forum for me.",2013-08-17 2:06,0,0,0,0,71,318,2606,1,Where I want to be,0,0
167,2022-07-09 0:25,Wake county got a case of monkey pox :face_exhaling:,Twitter for iPhone,FALSE,FALSE,funny shit lives here . laugh :wilted_flower:,2010-08-31 12:47,0,0,0,0,1282,1349,48350,5,None,0,0
173,2022-07-09 0:28,Finding out that they're giving monkey pox vaccines to those in Fire Island while only opening two sites in Manhattan and ignoring Brooklyn Queens and the Bronx _URL_,Twitter for iPhone,FALSE,TRUE,Easy. Breezy. Beautiful. Queer liberation not rainbow capitalism. :rainbow_flag::Iran:,2009-05-24 2:31,1,0,11,1,1841,988,43307,7,"Brooklyn, NY",0,0
177,2022-07-09 0:29,"@B52Malmet @nytimes But don't fall into trap that it is a ""gay disease"".. CDC notes methods of spread of monkey pox. _URL_",Twitter for iPhone,FALSE,FALSE,"Mother, Grandmother, Teacher, Attorney, Christian but not Evangelical Right ... Time 2 Act for truth. The Rolex belonged to his late son, Beau.",2016-03-01 3:13,0,1,0,0,1392,422,148340,5,United States,0,0
178,2022-07-09 0:29,New York City has quickly become the epicenter of the monkeypox outbreak in the U.S. and communities most affected are scrambling to get their hands on a limited supply of the vaccine. _URL_,SocialFlow,TRUE,TRUE,Get breaking news and Storm Team 4 weather updates. Plus stories from New York's biggest investigative unit. News tip or question? tips@nbcnewyork.com,2008-08-15 16:16,9,8,4,0,343829,1953,265640,4564,"New York, NY",0,0
180,2022-07-09 0:29,SOUTH FLORIDA GAYS wilton manors is offering monkeypox vaccines next week at the pride center. only the 13th-16th are open. make an appointment. _URL_,Twitter for iPhone,FALSE,TRUE,27 | he/him/his | blm,2010-08-09 19:35,0,1,1,0,2016,406,36092,1,"Miami, FL",0,0
183,2022-07-09 0:30,"MONKEYPOX IN NYC: As cases continue to climb, concerned New Yorkers are worried that vaccine rollout will not target the right communities in all five boroughs. _URL_",TweetDeck,TRUE,TRUE,"24/7 Hyper-local breaking news, weather, traffic and more. Download our app or go to _URL_ for updates. For news tips, call (718) 861-6800. #Bronx",2009-05-06 19:04,1,0,2,0,26452,189,63269,500,"Bronx, NY",0,0
184,2022-07-09 0:30,"MONKEYPOX IN NYC: As cases continue to climb, concerned New Yorkers are worried that vaccine rollout will not target the right communities in all five boroughs. _URL_",TweetDeck,TRUE,TRUE,"24/7 Hyper-local breaking news, weather, traffic and more. Download our app or go to _URL_ for updates. For news tips, call (718) 861-6818. #Brooklyn",2009-05-06 19:44,0,0,0,0,18210,220,60229,427,"Brooklyn, NY",0,0
185,2022-07-09 0:30,UPDATE: The Southern Nevada Health District reported that a man in his 40's is the latest probable monkeypox case. #monkeypox _URL_,Brandwatch,TRUE,TRUE,Nevada's largest newspaper and the most reliable source for news in Southern Nevada. Send news tips to newstips@reviewjournal.com #RJNow,2008-07-08 21:53,1,5,2,0,287447,246,225132,2328,"Las Vegas, NV",0,0
192,2022-07-09 0:30,What doctors wish patients knew about monkeypox _URL_ (via @AmerMedicalAssn),Twitter Web App,FALSE,FALSE,Disability Rights Activist,2011-03-11 19:25,0,0,0,0,1446,5001,119934,17,"Silver Spring, MD",0,0
193,2022-07-09 0:30,Join me and Dr. Raul Pino on 7/12 for an important discussion with local experts on how to protect yourself from the meningococcal and monkeypox outbreaks affecting our community during one of the worst outbreaks in U.S. history among gay/bi men. RSVP: _URL_ _URL_,Twitter Web App,TRUE,TRUE,"FL's first LGBTQ Latino legislator. FL House District 49. He/him/él. Good husband, brother, son, + favorite guncle. _URL_",2009-04-17 4:57,11,3,23,0,42395,3912,19691,360,Orlando,0,0
194,2022-07-09 0:31,Monkeypox: Is enough being done to stop its global spread? | The Stream _URL_,dlvr.it,FALSE,FALSE,"Bringing the news that is important, that as quick as a dog can bring it.",2012-08-28 18:07,0,0,0,0,1784,179,2111894,257,Doghouse,0,0
195,2022-07-09 0:31,"Summary of new confirmed monkeypox cases reported on July 8th: 1. Spain:Spain: recording 500 cases 2. UK:United_Kingdom: with a robust uptick 3. France:France: surprisingly high numbers 4. Italy:Italy: and Portugal:Portugal: bright spot 5. Total confirmed cases today: 1,207 6. Total confirmed cases :globe_showing_Europe-Africa: : 9,478 _URL_",Twitter for iPhone,FALSE,TRUE,Live updates on the Monkeypox outbreak and case count around the world :globe_showing_Americas: Support us- _URL_,2018-08-09 12:08,43,14,120,12,10469,9,1026,99,"Miami, FL",0,0
196,2022-07-09 0:31,"Interesting preprint looking at monkeypox genomes. Current MPXV strains seem to be missing the C3L gene, which normally blocks a specific part of the immune response known as complement. Perhaps this explains the lower-than-expected mortality?_URL_ _URL_",Twitter Web App,TRUE,TRUE,Canadian in Boston. Hospitalist. FIDSA. Amdt14.S3.1.1 fan. Atmospheric CO2 420 ppm. #M4A #RaisetheWage #blacklivesmatter,2012-07-04 2:08,0,0,4,0,6766,5084,5076,71,"Boston, MA",0,0
197,2022-07-09 0:31,NYC is 'epicenter' of monkeypox outbreak as cases surge _URL_,Twitter Web App,FALSE,FALSE,#WeThePeople #FWhoJustVoteBlue #ByeDon #BlueWave:water_wave: #TheSquad #FullyVaccinated And #Boosted #PresidentBidenAndVPHarris #TruthToPower #TeamJustice,2017-07-26 11:37,1,0,0,0,3765,3657,48913,3,United States,0,0
199,2022-07-09 0:31,They're saying that the monkeypox is prominent in the LGBT community LMFAOOOOOSKSK :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face: _URL_,Twitter for iPhone,FALSE,FALSE,Lioness :lion::United_States: #AdoptDontShop,2020-09-11 9:35,0,1,3,0,210,111,11177,2,"Los Angeles, CA",0,0
201,2022-07-09 0:32,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say - Worrisome _URL_",Twitter for iPhone,FALSE,FALSE,Former International President of Médecins Sans Frontières. Opinions expressed are my own. RT doesn't mean endorsement.,2013-11-15 12:14,10,4,20,1,31567,484,9742,546,"Montréal, Québec",0,0
202,2022-07-09 0:32,"Monkeypox is located in Lane County, Oregon. FAQ about infectious viruses _URL_",WordPress.com,FALSE,TRUE,collaboration@support.exbulletin.com,2022-01-14 23:40,0,0,0,0,103,1,128163,1,None,0,0
214,2022-07-09 0:33,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter Web App,FALSE,FALSE,#AlwaysWithHer HRC won the popular vote. I stand with Nancy. FFS Ditch Mitch. Fully Pfizered and double boosted. I stand with Ukraine. Pro-choice.,2012-08-15 5:59,0,0,0,0,2439,3760,74433,21,Chicago IL suburb,0,0
220,2022-07-09 0:35,"@HolyCitySinner From CDC ""Globally, early data suggest that gay, bisexual, and other men who have sex with men make up a high number of monkeypox cases."" _URL_",Twitter for iPhone,FALSE,FALSE,None,2022-07-01 21:51,0,0,0,0,0,76,44,0,None,0,0
226,2022-07-09 0:36,"When the number of cases exceeds 700, the United States ships more monkeypox shots _URL_",WordPress.com,FALSE,TRUE,collaboration@support.exbulletin.com,2022-01-14 23:40,0,0,0,0,103,1,128163,1,None,0,0
227,2022-07-09 0:36,West Bengal: Youth in hospital with suspected monkeypox - Times of India _URL_ #WestBengal,IFTTT,FALSE,TRUE,Latest News on West Bengal. Hour on Hour. Day After Day. Everyday of Every Week of Every Month. All the Year Round! Follow Me For Unbiased & Quick News Updates.,2013-08-18 5:24,0,0,1,0,1828,2,57149,10,"Kolkota, West Bengal",0,0
231,2022-07-09 0:37,What's your risk level for getting monkeypox in South Carolina? We asked experts _URL_ via @wltx (JR since SC really lacks in vax and protection pls tell your staff to keep up w/ this info.),Twitter Web App,FALSE,FALSE,Child of the King,2018-01-10 4:54,0,0,0,0,39,716,19180,0,WORLDWIDE,0,0
232,2022-07-09 0:37,@twobluecats @gabbystern @WHO @WHOAFRO You are aware that monkeypox is endemic on many areas around Africa?:face_with_rolling_eyes:,Twitter for Android,FALSE,FALSE,"Into RF, prefer UHF and VHF-L, VHF-H is mainstream and rasict. ZE/ZIE",2021-09-01 8:54,0,0,0,0,21,51,954,1,None,0,0
233,2022-07-09 0:37,Island Health confirms one case of monkeypox on south Island _URL_,TweetDeck,TRUE,TRUE,"Independent & Employee-Owned News for Vancouver Island, British Columbia. Email tips@cheknews.ca",2010-06-17 20:18,10,5,12,1,53285,2038,83478,600,"Victoria, BC",0,0
234,2022-07-09 0:38,"@HolyCitySinner CDC Guidelines: ""How can a person lower the chance of getting monkeypox at places like raves, parties, clubs, and festivals?"" _URL_",Twitter for iPhone,FALSE,FALSE,None,2022-07-01 21:51,0,0,0,0,0,76,44,0,None,0,0
240,2022-07-09 0:39,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter for Android,FALSE,FALSE,"Retired, living the good life. Colorado native. Radical, tree-hugger, anti-nuke progressive atheist with positive hopes. Resist",2012-12-08 20:38,0,0,0,0,10425,11461,297631,118,Timnath Colorado,0,0
